title,price,year,length,brand,url,bargain_score,risk_level,estimated_market_value,potential_savings,red_flags,positive_indicators,reasoning,seller_questions
"Beneteau Oceanis 473, Bluewater Cruiser, Vurderes solgt.",1390000,,,beneteau,https://www.finn.no/mobility/item/412040903,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Maxi 777 - Ink båtplass på fornebu,35000,,,maxi,https://www.finn.no/mobility/item/417361907,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
IW31 seilbåt. (Redusert pris),41000,,,swan,https://www.finn.no/mobility/item/411014893,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Granada 24 seilbåt selges BILLIG!,2000,,,granada,https://www.finn.no/mobility/item/417334148,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Bavaria Vision 40, langturrigget, rullestorseil, 3 lugarer, baugpropell, lithium",1250000,,,bavaria,https://www.finn.no/mobility/item/415971638,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Sjelden mulighet - Brenta 34 - Norges råeste hyttebåt?,2500000,,,brenta,https://www.finn.no/mobility/item/417219155,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Kommer for salg - Bavaria Cruiser 36 - Registrert i Skipsregisteret,940000,,,bavaria,https://www.finn.no/mobility/item/417153993,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"OHLSON 29 Rask, romslig, velutstyrt  MULIGHET FOR BØYEPLASS OG BILOPPSTILLING…",130000,,,winga,https://www.finn.no/mobility/item/261739425,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria 38 ac Crusier,720000,,,bavaria,https://www.finn.no/mobility/item/416620130,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Marieholm 20 med ferskvannskjølt innenbordsmotor,32000,,,marieholm,https://www.finn.no/mobility/item/417195979,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
21 fots seilbåt med senkekjøl og tilhenger,59000,,,andre,https://www.finn.no/mobility/item/408128847,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria 34 AC,450000,,,bavaria,https://www.finn.no/mobility/item/417147318,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt Omega 30,140000,,,omega,https://www.finn.no/mobility/item/417149473,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt til salgs,35000,,,polo,https://www.finn.no/mobility/item/411985096,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria Cruiser 32,598000,,,bavaria,https://www.finn.no/mobility/item/417138421,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt - Jeanneau Sun Odyssey 34 (1991),300000,1991.0,,jeanneau,https://www.finn.no/mobility/item/409631514,4.5,LOW,,0,[],[],⚠️ Below average value (score: 4.5/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?', 'Has the boat had any major refits or upgrades?', 'What is the condition of the rigging and sails?']"
Omega 30A prosjekt selges (defekt innenbordsmotor).,60000,,,omega,https://www.finn.no/mobility/item/416983519,4.4,HIGH,,0,"['defekt', 'prosjekt', 'Mentions: defekt', 'Mentions: prosjekt']",[],"⚠️ Below average value (score: 4.4/10) | 🚩 4 red flag(s): defekt, prosjekt, Mentions: defekt","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?', 'Can you provide details about what exactly is defective?', 'Do you have repair estimates for the defects?']"
"Bostrøm 1982, Bostrøm 37 med defekt motor",180000,1982.0,,bostrøm,https://www.finn.no/mobility/item/417627978,4.2,HIGH,,0,"['defekt', 'Mentions: defekt motor', 'Mentions: defekt']",[],"⚠️ Below average value (score: 4.2/10) | 🚩 3 red flag(s): defekt, Mentions: defekt motor, Mentions: defekt","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?', 'Can you provide details about what exactly is defective?', 'Do you have repair estimates for the defects?']"
